"f_9094","Points:0","Points:1","Points:2"
7.5078e+08,0,0,0
0,0.0001016,0.01,0
0,0.0001016,0.05,0
0,0.000305,0.011,0
0,0.000305,0.05,0
0,0.0003935,0.005,0
0,0.0003935,0.01,0
0,0.0003935,0.011,0
0,0.0003935,0.027,0
0,0.00066,0.017,0
0,0.00066,0.027,0
1.5792e+07,0.000765,0.005,0
6.4702e+07,0.000765,0.017,0
32586,0.000765,0.05,0
411.83,0.05,0.05,0
3.6217,0.05,-0.05,0
7.7022,0,-0.05,0
2.2987e+09,4.5266e-06,2.9586e-05,0
2.9294e+09,9.0533e-06,5.9172e-05,0
2.5762e+09,1.358e-05,8.8757e-05,0
2.0816e+09,1.8107e-05,0.00011834,0
1.4739e+09,2.2633e-05,0.00014793,0
1.2122e+09,2.716e-05,0.00017751,0
1.0947e+09,3.1686e-05,0.0002071,0
8.9032e+08,3.6213e-05,0.00023669,0
8.0406e+08,4.074e-05,0.00026627,0
7.015e+08,4.5266e-05,0.00029586,0
6.155e+08,4.9793e-05,0.00032544,0
5.5513e+08,5.432e-05,0.00035503,0
4.9035e+08,5.8846e-05,0.00038462,0
4.3661e+08,6.3373e-05,0.0004142,0
3.8752e+08,6.7899e-05,0.00044379,0
3.5582e+08,7.2426e-05,0.00047337,0
3.4328e+08,7.6953e-05,0.00050296,0
3.1622e+08,8.1479e-05,0.00053254,0
2.9482e+08,8.6006e-05,0.00056213,0
2.7166e+08,9.0533e-05,0.00059172,0
2.5275e+08,9.5059e-05,0.0006213,0
2.3403e+08,9.9586e-05,0.00065089,0
2.2144e+08,0.00010411,0.00068047,0
2.0721e+08,0.00010864,0.00071006,0
1.9483e+08,0.00011317,0.00073964,0
1.8129e+08,0.00011769,0.00076923,0
1.6873e+08,0.00012222,0.00079882,0
1.6616e+08,0.00012675,0.0008284,0
1.5809e+08,0.00013127,0.00085799,0
1.5134e+08,0.0001358,0.00088757,0
1.4424e+08,0.00014033,0.00091716,0
1.326e+08,0.00014485,0.00094675,0
1.2612e+08,0.00014938,0.00097633,0
1.2435e+08,0.00015391,0.0010059,0
